date,disp_mm
2015-11-02,7.736
2015-11-03,5.645
2015-11-04,7.729
2015-11-05,5.689
2015-11-06,9.277
2015-11-07,9.009
2015-11-08,12.316
2015-11-09,9.108
2015-11-10,8.665
2015-11-11,8.542
2015-11-12,8.751
2015-11-13,9.536
2015-11-14,8.736
2015-11-15,8.973
2015-11-16,7.054
2015-11-17,9.345
2015-11-18,10.011
2015-11-19,9.142
2015-11-20,7.285
2015-11-21,8.256
2015-11-22,8.856
2015-11-23,9.389
2015-11-24,10.448
2015-11-25,9.414
2015-11-26,7.675
2015-11-27,6.961
2015-11-28,10.646
2015-11-29,10.725
2015-11-30,5.864
2015-12-01,8.333
2015-12-02,7.403
2015-12-03,9.205
2015-12-04,5.69
2015-12-05,9.107
2015-12-06,10.154
2015-12-07,8.988
2015-12-08,7.831
2015-12-09,7.125
2015-12-10,8.188
2015-12-11,9.292
2015-12-12,9.321
2015-12-13,4.279
2015-12-14,3.386
2015-12-15,5.133
2015-12-16,3.996
2015-12-17,8.43
2015-12-18,8.476
2015-12-19,6.103
2015-12-20,7.778
2015-12-21,6.759
2015-12-22,8.967
2015-12-23,8.413
2015-12-24,8.462
2015-12-25,7.205
2015-12-26,7.501
2015-12-27,6.678
2015-12-28,9.161
2015-12-29,8.331
2015-12-30,7.977
2015-12-31,7.123
2016-01-01,7.322
2016-01-02,8.828
2016-01-03,8.048
2016-01-04,6.819
2016-01-05,10.179
2016-01-06,8.747
2016-01-07,9.094
2016-01-08,8.609
2016-01-09,8.912
2016-01-10,9.018
2016-01-11,9.159
2016-01-12,10.905
2016-01-13,9.335
2016-01-14,11.402
2016-01-15,10.995
2016-01-16,12.14
2016-01-17,8.468
2016-01-18,10.972
2016-01-19,13.128
2016-01-20,12.323
2016-01-21,11.227
2016-01-22,11.123
2016-01-23,9.21
2016-01-24,11.706
2016-01-25,12.302
2016-01-26,14.547
2016-01-27,12.146
2016-01-28,14.5
2016-01-29,11.595
2016-01-30,10.423
2016-01-31,11.402
2016-02-01,11.195
2016-02-02,12.592
2016-02-03,13.903
2016-02-04,13.426
2016-02-05,15.059
2016-02-06,12.564
2016-02-07,14.248
2016-02-08,12.921
2016-02-09,14.425
2016-02-10,12.312
2016-02-11,7.556
2016-02-12,8.488
2016-02-13,9.57
2016-02-14,8.779
2016-02-15,8.525
2016-02-16,12.032
2016-02-17,9.787
2016-02-18,12.519
2016-02-19,10.885
2016-02-20,12.347
2016-02-21,11.225
2016-02-22,10.75
2016-02-23,12.397
2016-02-24,12.305
2016-02-25,14.206
2016-02-26,14.66
2016-02-27,12.556
2016-02-28,14.18
2016-02-29,11.611
2016-03-01,14.307
2016-03-02,12.185
2016-03-03,11.204
2016-03-04,12.066
2016-03-05,10.611
2016-03-06,12.472
2016-03-07,12.419
2016-03-08,14.0
2016-03-09,11.337
2016-03-10,12.802
2016-03-11,13.486
2016-03-12,13.842
2016-03-13,15.027
2016-03-14,17.906
2016-03-15,14.22
2016-03-16,13.579
2016-03-17,14.889
2016-03-18,15.363
2016-03-19,15.918
2016-03-20,15.292
2016-03-21,15.303
2016-03-22,14.046
2016-03-23,11.95
2016-03-24,16.749
2016-03-25,13.891
2016-03-26,13.061
2016-03-27,12.337
2016-03-28,15.25
2016-03-29,13.692
2016-03-30,13.998
2016-03-31,15.556
2016-04-01,16.396
2016-04-02,15.905
2016-04-03,15.722
2016-04-04,18.932
2016-04-05,19.667
2016-04-06,21.057
2016-04-07,18.496
2016-04-08,13.518
2016-04-09,17.79
2016-04-10,16.428
2016-04-11,16.383
2016-04-12,17.207
2016-04-13,15.124
2016-04-14,16.82
2016-04-15,13.961
2016-04-16,15.217
2016-04-17,14.408
2016-04-18,13.019
2016-04-19,15.588
2016-04-20,17.852
2016-04-21,15.116
2016-04-22,16.9
2016-04-23,15.606
2016-04-24,15.258
2016-04-25,12.356
2016-04-26,15.166
2016-04-27,14.231
2016-04-28,15.061
2016-04-29,17.535
2016-04-30,16.66
2016-05-01,14.67
2016-05-02,17.711
2016-05-03,16.35
2016-05-04,17.81
2016-05-05,14.39
2016-05-06,15.596
2016-05-07,17.355
2016-05-08,14.929
2016-05-09,13.668
2016-05-10,17.2
2016-05-11,16.039
2016-05-12,14.879
2016-05-13,14.429
2016-05-14,12.538
2016-05-15,14.997
2016-05-16,12.866
2016-05-17,15.748
2016-05-18,13.679
2016-05-19,12.476
2016-05-20,16.318
2016-05-21,17.006
2016-05-22,15.813
2016-05-23,18.19
2016-05-24,19.366
2016-05-25,17.269
2016-05-26,20.606
2016-05-27,18.745
2016-05-28,18.659
2016-05-29,19.091
2016-05-30,17.592
2016-05-31,16.123
2016-06-01,19.938
2016-06-02,18.82
2016-06-03,18.643
2016-06-04,20.24
2016-06-05,18.691
2016-06-06,17.161
2016-06-07,18.712
2016-06-08,18.936
2016-06-09,19.453
2016-06-10,19.189
2016-06-11,18.642
2016-06-12,18.505
2016-06-13,20.495
2016-06-14,19.627
2016-06-15,16.336
2016-06-16,21.813
2016-06-17,18.65
2016-06-18,17.09
2016-06-19,20.094
2016-06-20,19.648
2016-06-21,19.359
2016-06-22,17.867
2016-06-23,18.491
2016-06-24,16.815
2016-06-25,19.461
2016-06-26,19.246
2016-06-27,19.641
2016-06-28,17.902
2016-06-29,19.667
2016-06-30,20.125
2016-07-01,17.15
2016-07-02,20.844
2016-07-03,19.439
2016-07-04,22.648
2016-07-05,22.34
2016-07-06,21.488
2016-07-07,22.474
2016-07-08,21.252
2016-07-09,22.404
2016-07-10,22.183
2016-07-11,21.235
2016-07-12,23.657
2016-07-13,19.663
2016-07-14,19.585
2016-07-15,19.911
2016-07-16,21.603
2016-07-17,19.92
2016-07-18,20.74
2016-07-19,19.999
2016-07-20,20.741
2016-07-21,19.211
2016-07-22,18.214
2016-07-23,21.961
2016-07-24,21.234
2016-07-25,19.987
2016-07-26,17.174
2016-07-27,21.962
2016-07-28,21.275
2016-07-29,22.895
2016-07-30,24.941
2016-07-31,20.29
2016-08-01,19.2
2016-08-02,24.513
2016-08-03,22.244
2016-08-04,24.464
2016-08-05,23.127
2016-08-06,25.412
2016-08-07,22.988
2016-08-08,23.687
2016-08-09,24.582
2016-08-10,24.669
2016-08-11,21.399
2016-08-12,22.637
2016-08-13,25.977
2016-08-14,21.894
2016-08-15,24.97
2016-08-16,24.468
2016-08-17,26.241
2016-08-18,23.798
2016-08-19,23.724
2016-08-20,22.29
2016-08-21,24.086
2016-08-22,27.09
2016-08-23,25.991
2016-08-24,27.033
2016-08-25,26.489
2016-08-26,26.632
2016-08-27,27.037
2016-08-28,24.48
2016-08-29,27.265
2016-08-30,25.94
2016-08-31,25.042
2016-09-01,27.917
2016-09-02,23.783
2016-09-03,24.958
2016-09-04,27.98
2016-09-05,24.99
2016-09-06,27.732
2016-09-07,26.125
2016-09-08,25.54
2016-09-09,25.097
2016-09-10,28.635
2016-09-11,24.524
2016-09-12,24.573
2016-09-13,23.06
2016-09-14,25.592
2016-09-15,23.841
2016-09-16,24.513
2016-09-17,24.156
2016-09-18,24.253
2016-09-19,22.964
2016-09-20,24.539
2016-09-21,21.538
2016-09-22,22.915
2016-09-23,23.26
2016-09-24,22.289
2016-09-25,24.332
2016-09-26,24.864
2016-09-27,21.376
2016-09-28,23.482
2016-09-29,26.64
2016-09-30,26.293
2016-10-01,23.435
2016-10-02,26.086
2016-10-03,23.109
2016-10-04,26.17
2016-10-05,27.393
2016-10-06,24.379
2016-10-07,24.136
2016-10-08,18.815
2016-10-09,22.811
2016-10-10,21.06
2016-10-11,23.369
2016-10-12,21.897
2016-10-13,20.783
2016-10-14,21.181
2016-10-15,20.736
2016-10-16,20.747
2016-10-17,18.947
2016-10-18,24.928
2016-10-19,20.886
2016-10-20,23.503
2016-10-21,24.122
2016-10-22,22.079
2016-10-23,23.179
2016-10-24,21.08
2016-10-25,20.088
2016-10-26,21.906
2016-10-27,21.127
2016-10-28,21.352
2016-10-29,20.811
2016-10-30,18.602
2016-10-31,18.899
2016-11-01,22.555
2016-11-02,21.982
2016-11-03,21.185
2016-11-04,21.221
2016-11-05,22.73
2016-11-06,20.501
2016-11-07,23.678
2016-11-08,21.147
2016-11-09,20.248
2016-11-10,19.377
2016-11-11,22.64
2016-11-12,22.727
2016-11-13,21.363
2016-11-14,21.871
2016-11-15,22.856
2016-11-16,22.349
2016-11-17,20.704
2016-11-18,20.281
2016-11-19,19.907
2016-11-20,20.63
2016-11-21,20.69
2016-11-22,21.5
2016-11-23,19.409
2016-11-24,16.778
2016-11-25,19.952
2016-11-26,21.246
2016-11-27,22.022
2016-11-28,22.485
2016-11-29,21.184
2016-11-30,22.622
2016-12-01,19.402
2016-12-02,18.902
2016-12-03,20.215
2016-12-04,21.329
2016-12-05,24.464
2016-12-06,24.195
2016-12-07,24.104
2016-12-08,20.789
2016-12-09,17.585
2016-12-10,21.316
2016-12-11,21.982
2016-12-12,19.646
2016-12-13,19.734
2016-12-14,20.994
2016-12-15,21.138
2016-12-16,21.073
2016-12-17,19.505
2016-12-18,21.732
2016-12-19,18.666
2016-12-20,21.111
2016-12-21,22.352
2016-12-22,22.188
2016-12-23,21.059
2016-12-24,19.025
2016-12-25,23.464
2016-12-26,21.002
2016-12-27,23.295
2016-12-28,19.882
2016-12-29,17.702
2016-12-30,19.343
2016-12-31,18.688
2017-01-01,20.25
2017-01-02,21.813
2017-01-03,21.066
2017-01-04,20.567
2017-01-05,21.157
2017-01-06,20.658
2017-01-07,19.746
2017-01-08,23.479
2017-01-09,23.738
2017-01-10,21.75
2017-01-11,18.238
2017-01-12,19.718
2017-01-13,21.468
2017-01-14,21.843
2017-01-15,23.21
2017-01-16,20.615
2017-01-17,24.891
2017-01-18,21.677
2017-01-19,22.991
2017-01-20,23.459
2017-01-21,24.597
2017-01-22,23.733
2017-01-23,24.329
2017-01-24,21.687
2017-01-25,22.739
2017-01-26,22.269
2017-01-27,21.618
2017-01-28,21.235
2017-01-29,24.467
2017-01-30,23.287
2017-01-31,23.975
2017-02-01,27.003
2017-02-02,24.122
2017-02-03,23.519
2017-02-04,18.624
2017-02-05,19.718
2017-02-06,17.254
2017-02-07,22.615
2017-02-08,22.102
2017-02-09,23.676
2017-02-10,22.059
2017-02-11,20.071
2017-02-12,21.692
2017-02-13,19.952
2017-02-14,21.817
2017-02-15,21.469
2017-02-16,24.044
2017-02-17,22.942
2017-02-18,22.473
2017-02-19,21.96
2017-02-20,22.951
2017-02-21,23.784
2017-02-22,19.947
2017-02-23,22.675
2017-02-24,24.418
2017-02-25,23.611
2017-02-26,25.509
2017-02-27,24.762
2017-02-28,23.104
2017-03-01,23.436
2017-03-02,26.33
2017-03-03,25.543
2017-03-04,24.593
2017-03-05,23.928
2017-03-06,22.673
2017-03-07,23.573
2017-03-08,22.579
2017-03-09,21.187
2017-03-10,23.137
2017-03-11,23.981
2017-03-12,25.145
2017-03-13,26.263
2017-03-14,26.159
2017-03-15,25.405
2017-03-16,23.88
2017-03-17,23.915
2017-03-18,27.457
2017-03-19,24.402
2017-03-20,27.215
2017-03-21,27.315
2017-03-22,25.13
2017-03-23,22.904
2017-03-24,24.968
2017-03-25,23.405
2017-03-26,25.955
2017-03-27,28.095
2017-03-28,27.222
2017-03-29,27.947
2017-03-30,26.519
2017-03-31,24.583
2017-04-01,25.181
2017-04-02,27.507
2017-04-03,28.984
2017-04-04,29.143
2017-04-05,27.434
2017-04-06,30.545
2017-04-07,28.191
2017-04-08,25.919
2017-04-09,30.898
2017-04-10,28.656
2017-04-11,29.358
2017-04-12,28.74
2017-04-13,29.676
2017-04-14,27.598
2017-04-15,28.115
2017-04-16,27.615
2017-04-17,26.116
2017-04-18,28.709
2017-04-19,26.434
2017-04-20,28.267
2017-04-21,28.142
2017-04-22,29.114
2017-04-23,28.65
2017-04-24,28.559
2017-04-25,29.571
2017-04-26,28.906
2017-04-27,27.655
2017-04-28,26.381
2017-04-29,27.638
2017-04-30,26.001
2017-05-01,27.437
2017-05-02,26.515
2017-05-03,30.558
2017-05-04,28.551
2017-05-05,27.231
2017-05-06,27.112
2017-05-07,28.627
2017-05-08,28.588
2017-05-09,28.353
2017-05-10,29.835
2017-05-11,27.498
2017-05-12,27.546
2017-05-13,28.021
2017-05-14,28.412
2017-05-15,25.57
2017-05-16,29.866
2017-05-17,28.164
2017-05-18,29.582
2017-05-19,27.135
2017-05-20,29.374
2017-05-21,31.372
2017-05-22,31.323
2017-05-23,30.13
2017-05-24,31.115
2017-05-25,30.881
2017-05-26,33.579
2017-05-27,29.689
2017-05-28,32.628
2017-05-29,32.619
2017-05-30,31.707
2017-05-31,33.003
2017-06-01,33.146
2017-06-02,31.175
2017-06-03,30.794
2017-06-04,35.456
2017-06-05,35.11
2017-06-06,33.007
2017-06-07,32.755
2017-06-08,33.429
2017-06-09,34.851
2017-06-10,33.268
2017-06-11,36.071
2017-06-12,34.938
2017-06-13,36.569
2017-06-14,32.782
2017-06-15,31.695
2017-06-16,29.92
2017-06-17,32.59
2017-06-18,31.148
2017-06-19,32.199
2017-06-20,30.749
2017-06-21,32.052
2017-06-22,33.807
2017-06-23,33.971
2017-06-24,35.052
2017-06-25,34.71
2017-06-26,34.836
2017-06-27,33.679
2017-06-28,31.922
2017-06-29,33.843
2017-06-30,31.979
2017-07-01,32.791
2017-07-02,33.7
2017-07-03,32.872
2017-07-04,35.002
2017-07-05,32.853
2017-07-06,30.359
2017-07-07,35.072
2017-07-08,33.399
2017-07-09,31.88
2017-07-10,31.106
2017-07-11,32.37
2017-07-12,31.22
2017-07-13,32.322
2017-07-14,30.54
2017-07-15,33.144
2017-07-16,32.415
2017-07-17,36.063
2017-07-18,31.186
2017-07-19,31.65
2017-07-20,32.392
2017-07-21,31.518
2017-07-22,30.452
2017-07-23,32.307
2017-07-24,31.259
2017-07-25,29.537
2017-07-26,33.507
2017-07-27,31.471
2017-07-28,31.332
2017-07-29,33.11
2017-07-30,34.493
2017-07-31,32.089
2017-08-01,33.398
2017-08-02,32.476
2017-08-03,34.722
2017-08-04,31.821
2017-08-05,33.884
2017-08-06,33.208
2017-08-07,33.725
2017-08-08,36.206
2017-08-09,34.093
2017-08-10,37.012
2017-08-11,35.376
2017-08-12,35.701
2017-08-13,35.421
2017-08-14,37.256
2017-08-15,35.137
2017-08-16,34.722
2017-08-17,35.541
2017-08-18,38.108
2017-08-19,33.87
2017-08-20,33.891
2017-08-21,35.804
2017-08-22,35.742
2017-08-23,38.087
2017-08-24,37.893
2017-08-25,35.215
2017-08-26,39.438
2017-08-27,38.646
2017-08-28,36.661
2017-08-29,33.649
2017-08-30,39.003
2017-08-31,34.834
2017-09-01,35.189
2017-09-02,40.937
2017-09-03,37.948
2017-09-04,35.877
2017-09-05,39.524
2017-09-06,37.5
2017-09-07,38.553
2017-09-08,37.593
2017-09-09,36.655
2017-09-10,40.785
2017-09-11,39.007
2017-09-12,40.421
2017-09-13,39.777
2017-09-14,41.219
2017-09-15,40.782
2017-09-16,43.543
2017-09-17,39.321
2017-09-18,39.069
2017-09-19,38.73
2017-09-20,38.089
2017-09-21,38.161
2017-09-22,37.832
2017-09-23,36.265
2017-09-24,36.867
2017-09-25,37.785
2017-09-26,36.796
2017-09-27,35.417
2017-09-28,38.963
2017-09-29,38.954
2017-09-30,39.446
2017-10-01,40.534
2017-10-02,40.47
2017-10-03,38.321
2017-10-04,37.967
2017-10-05,36.699
2017-10-06,36.611
2017-10-07,36.502
2017-10-08,36.098
2017-10-09,38.598
2017-10-10,35.241
2017-10-11,34.811
2017-10-12,36.969
2017-10-13,35.043
2017-10-14,34.216
2017-10-15,36.891
2017-10-16,38.39
2017-10-17,36.622
2017-10-18,36.953
2017-10-19,33.089
2017-10-20,36.441
2017-10-21,37.736
2017-10-22,35.495
2017-10-23,34.643
2017-10-24,37.675
2017-10-25,34.182
2017-10-26,32.506
2017-10-27,36.001
2017-10-28,35.879
2017-10-29,34.71
2017-10-30,35.985
2017-10-31,38.258
2017-11-01,36.455
2017-11-02,34.479
2017-11-03,32.517
2017-11-04,35.182
2017-11-05,36.285
2017-11-06,33.944
2017-11-07,36.302
2017-11-08,33.892
2017-11-09,36.605
2017-11-10,34.787
2017-11-11,32.316
2017-11-12,31.43
2017-11-13,33.067
2017-11-14,33.717
2017-11-15,34.081
2017-11-16,32.799
2017-11-17,33.208
2017-11-18,33.488
2017-11-19,34.492
2017-11-20,32.123
2017-11-21,34.469
2017-11-22,35.143
2017-11-23,35.445
2017-11-24,34.363
2017-11-25,36.106
2017-11-26,34.852
2017-11-27,33.361
2017-11-28,35.777
2017-11-29,33.018
2017-11-30,32.56
2017-12-01,31.939
2017-12-02,33.8
2017-12-03,33.249
2017-12-04,32.479
2017-12-05,32.183
2017-12-06,30.809
2017-12-07,34.583
2017-12-08,32.969
2017-12-09,30.328
2017-12-10,35.149
2017-12-11,32.98
2017-12-12,34.011
2017-12-13,32.032
2017-12-14,33.353
2017-12-15,32.356
2017-12-16,32.73
2017-12-17,35.845
2017-12-18,34.369
2017-12-19,33.935
2017-12-20,33.384
2017-12-21,35.379
2017-12-22,36.238
2017-12-23,37.077
2017-12-24,37.043
2017-12-25,36.236
2017-12-26,36.485
2017-12-27,34.647
2017-12-28,33.402
2017-12-29,33.228
2017-12-30,33.901
2017-12-31,34.978
2018-01-01,34.907
2018-01-02,33.221
2018-01-03,37.338
2018-01-04,33.29
2018-01-05,32.337
2018-01-06,32.995
2018-01-07,32.506
2018-01-08,35.035
2018-01-09,32.609
2018-01-10,32.897
2018-01-11,34.268
2018-01-12,35.283
2018-01-13,35.551
2018-01-14,32.816
2018-01-15,32.956
2018-01-16,35.416
2018-01-17,35.351
2018-01-18,34.998
2018-01-19,35.344
2018-01-20,34.839
2018-01-21,37.148
2018-01-22,34.973
2018-01-23,34.384
2018-01-24,32.901
2018-01-25,37.654
2018-01-26,36.235
2018-01-27,32.905
2018-01-28,36.673
2018-01-29,35.812
2018-01-30,35.419
2018-01-31,35.912
2018-02-01,36.253
2018-02-02,35.368
2018-02-03,35.486
2018-02-04,35.933
2018-02-05,35.951
2018-02-06,37.224
2018-02-07,38.334
2018-02-08,37.816
2018-02-09,38.225
2018-02-10,36.405
2018-02-11,35.806
2018-02-12,32.136
2018-02-13,35.762
2018-02-14,37.847
2018-02-15,38.843
2018-02-16,41.346
2018-02-17,39.921
2018-02-18,39.854
2018-02-19,39.332
2018-02-20,39.112
2018-02-21,38.479
2018-02-22,37.329
2018-02-23,39.105
2018-02-24,35.457
2018-02-25,36.427
2018-02-26,37.369
2018-02-27,36.703
2018-02-28,35.203
2018-03-01,36.581
2018-03-02,35.772
2018-03-03,34.627
2018-03-04,34.617
2018-03-05,35.849
2018-03-06,37.739
2018-03-07,39.116
2018-03-08,33.994
2018-03-09,36.181
2018-03-10,36.572
2018-03-11,37.102
2018-03-12,36.617
2018-03-13,38.716
2018-03-14,36.261
2018-03-15,42.393
2018-03-16,39.401
2018-03-17,37.996
2018-03-18,35.552
2018-03-19,38.147
2018-03-20,36.277
2018-03-21,36.098
2018-03-22,37.011
2018-03-23,36.406
2018-03-24,40.227
2018-03-25,37.292
2018-03-26,34.977
2018-03-27,37.395
2018-03-28,36.541
2018-03-29,34.654
2018-03-30,36.626
2018-03-31,35.971
2018-04-01,35.892
2018-04-02,36.033
2018-04-03,38.293
2018-04-04,37.117
2018-04-05,36.137
2018-04-06,36.878
2018-04-07,39.114
2018-04-08,38.128
2018-04-09,39.212
2018-04-10,37.782
2018-04-11,39.408
2018-04-12,39.108
2018-04-13,38.314
2018-04-14,38.436
2018-04-15,40.728
2018-04-16,40.613
2018-04-17,40.589
2018-04-18,38.565
2018-04-19,39.4
2018-04-20,37.984
2018-04-21,37.721
2018-04-22,36.958
2018-04-23,36.969
2018-04-24,40.653
2018-04-25,35.684
2018-04-26,34.748
2018-04-27,36.675
2018-04-28,39.206
2018-04-29,37.041
2018-04-30,38.514
2018-05-01,38.035
2018-05-02,42.449
2018-05-03,38.925
2018-05-04,39.671
2018-05-05,41.969
2018-05-06,40.304
2018-05-07,39.227
2018-05-08,38.529
2018-05-09,39.308
2018-05-10,39.247
2018-05-11,42.956
2018-05-12,43.384
2018-05-13,43.587
2018-05-14,42.818
2018-05-15,42.424
2018-05-16,44.438
2018-05-17,43.497
2018-05-18,41.449
2018-05-19,41.397
2018-05-20,42.082
2018-05-21,41.103
2018-05-22,41.58
2018-05-23,40.38
2018-05-24,40.507
2018-05-25,42.288
2018-05-26,41.645
2018-05-27,41.79
2018-05-28,42.376
2018-05-29,42.631
2018-05-30,42.044
2018-05-31,44.47
2018-06-01,42.266
2018-06-02,44.496
2018-06-03,47.9
2018-06-04,45.813
2018-06-05,44.671
2018-06-06,46.818
2018-06-07,46.205
2018-06-08,45.45
2018-06-09,42.547
2018-06-10,44.312
2018-06-11,44.474
2018-06-12,45.54
